run,maxjops,critjops,
0,10162,3845,
1,10278,3837,
2,10162,3709,
3,10278,3806,
4,10162,3727,
5,9931,3835,
6,10393,3758,
7,10393,3822,
8,10393,3899,
9,10162,3704,
