Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;591012.0
Domain Marker;max-jOPS;6167188.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3564.0;1001.1178170000003;1001.1288649999997
87095.0;5426.7978310000035;5428.116135999997
305010.0;12044.967678999994;12315.983600000036
397792.0;6756.713670999976;7129.160608000006
6479358.0;7752.627878000028;8018.841963000596
6664804.0;11521.157745000906;11521.380707999691
6710543.0;;1000.273285000585
6710544.0;0.9737040000036359;
