run,gc-count,usage-pre,usage-post,pause,real,user,sys
0,3480,3125.9,228.1,273.563,274.13,1594.28,2.37
1,3323,3115.3,228.0,261.319,261.4,1521.86,2.36
2,3361,3131.7,227.9,263.024,263.16,1533.55,1.96
3,3400,3130.4,228.6,266.321,266.23,1553.26,2.14
4,3626,3140.1,227.4,286.171,286.52,1663.44,2.15
5,3611,3134.3,228.0,284.105,284.2,1653.15,2.33
6,3558,3134.9,228.6,280.101,280.3,1629.95,2.14
7,3282,3119.8,356.8,257.262,257.46,1500.23,2.17
8,3587,3130.9,228.6,283.736,283.63,1647.94,2.22
