run,l1-misses,l1-loads,llc-misses,llc-loads,tlb-misses,tlb-loads,instructions,branches,
0,1221348089717,24347244759109,257313168863,613600225531,36780416545,24140959564522,79838916309622,15033491394731,
1,1311178277476,25957219151327,282471802746,668359285361,37495818373,25754339356775,85534338702392,16068829278975,
2,1313797578090,25657480519338,279163680624,663186327005,38256147497,25452664669763,84981781715412,15954409930631,
3,1332433689422,26304006235557,271731406004,668776912228,38876753367,26095345111884,86714552890269,16273531040734,
4,1272908101936,25120897498474,270729092619,645831361451,38033105300,24898710310037,82270520528327,15426886308145,
5,1372619308053,26939312649364,291059571409,700915074515,41547128501,26737607773078,88312450162623,16506182778761,
6,1234151164520,24534757750967,260166459405,626900605404,35325538481,24361359439453,81072991393876,15238814849030,
7,1324457553572,26101936552852,280995460726,672801247541,37264560856,25914772975267,85308843852927,15967364755903,
8,1266378084285,24639618572004,270872377393,636528388119,35888046126,24422854751062,81664764733726,15279902395794,
