run,gc-count,usage-pre,usage-post,pause,real,user,sys
0,4692,3323.1,2124.9,330.681,330.83,1919.28,2.89
1,5018,3332.8,2129.9,351.046,351.05,2034.72,3.03
2,5018,3337.7,2143.6,351.416,351.17,2042.44,3.06
3,5097,3330.9,2134.5,363.083,363.14,2108.31,3.23
4,4860,3330.6,2128.2,341.993,342.1,1983.27,3
5,5291,3346.2,2143.6,371.773,372.25,2154.26,3.4
6,4788,3331.6,2138.0,337.459,337.11,1958.27,3.02
7,5132,3328.2,2135.2,361.434,361.69,2096.43,3.29
8,4850,3327.1,2129.9,343.507,343.69,1989.46,2.7
