Request Mix Accuracy
===================================
Domain Marker;max-jOPS;11485.0
Domain Marker;critical-jOPS;4097.0
Domain Marker;Validation Start jOPS;1383.7
Range Marker;Main Tx Limit;-5.0
Range Marker;Main Tx Limit;5.0
Range Marker;Minor Tx Limit;-1.0
Range Marker;Minor Tx Limit;1.0
jOPS;In-store Purchase [50%];Online Purchase [35%];Installment Purchase [10%];Associativity of Category [0.1%];Associativity of Product [1%];Business Report [0.25%];Customer Buying Behavior [1%];Product Return [2.65%]
138.0;-0.04821600771456502;-0.019286403085821746;-0.019286403085823522;0.008486017357762762;0.012536162005785778;0.02724204435872707;0.024590163934426146;0.013934426229508023
277.0;0.006006727534838774;0.007208073041809371;-0.016818837097549277;0.008121095627102351;-0.0028832292167226825;0.0022825564632388273;-0.014896684286400785;0.010980297933685712
415.0;-0.014039873240001555;0.023466645272570474;-0.0036102531188575426;0.008307593565726662;-0.001163303782743097;-0.0012936740342573139;0.0028480885715431725;-0.014515223233984464
553.0;0.00902744342802464;-0.00962927298989058;-0.018656716417911667;0.005320173326913813;0.0020462205103515263;-2.4073182474723676E-4;-0.006981222917669672;0.019114106884930315
692.0;0.019106759015997454;-0.010747551946501233;0.002388344876999682;3.1048483401002747E-4;-0.004060186290900436;7.762120850250409E-4;-0.0016718414139000881;-0.006102221160735333
830.0;-0.009032698368095282;7.025432064082793E-4;0.010237058150504907;-0.0016439511029928272;0.005640418314297735;-0.0010989783014512533;-0.002388646901784419;-0.00241574499688868
969.0;0.001718272105563301;0.013230695212897103;-0.013402522423451302;-3.4021787690299843E-4;-0.0016839066634593003;8.677274133131463E-4;-0.008556995085741703;0.008166947317777229
1107.0;0.05567426043515411;-0.039573866201209285;-0.005717897017664342;-6.891570616028159E-4;-0.008396280357519048;-0.0032276023954978805;-0.0023774413915554904;0.00430798398988852
1245.0;0.0;0.015501205649329108;-0.011659026471289025;-0.0019581864914279684;-0.007657860568642483;-0.002245687485094988;0.0016163650335196955;0.006403190333607256
1384.0;-0.007219869079705177;0.006738544474394814;0.0031286099345404494;-1.2514439738159355E-4;0.005968425105891351;-0.0033211397766653716;0.0011551790527530859;-0.006324605313823728
1522.0;0.029546300146634508;-0.021557856032920597;8.754459302711126E-4;6.762819811341331E-4;1.9697533431095593E-4;-0.003780832111356741;-8.973320785276018E-4;-0.0050589831695520004
1660.0;-0.014536195125863571;0.012180329019258807;-0.0011027458371337673;2.4962155767860317E-4;-0.0015137692855209384;0.003631542540926902;-0.004521257932251221;0.005612475062906519
1799.0;-0.016207755642618338;0.017087605234642922;0.005279097552165268;9.511637168551357E-4;-0.005306882276124636;-0.001789799301677275;0.0021023774462134437;-0.0021158067294599903
1937.0;-0.007251507887076514;-0.0016635812211518441;0.007080884172090407;6.67991844186408E-4;-0.0018512673076431785;0.0016699796104660547;0.003267444142061482;-0.0019199433529264454
2076.0;-0.022884397658565092;0.03079356667389277;8.02961321362261E-5;3.701651691438018E-4;-3.131549153276847E-4;5.239322621829468E-4;-0.005933884164799785;-0.002636523498662946
2214.0;-0.030787714950811562;0.026657655628149257;-0.005256439137944824;6.232634977847706E-4;0.003979875347300599;-0.00144552076293461;0.002478035593602268;0.003750844784861318
