Request Mix Accuracy
===================================
Domain Marker;max-jOPS;10162.0
Domain Marker;critical-jOPS;3715.0
Domain Marker;Validation Start jOPS;1154.8
Range Marker;Main Tx Limit;-5.0
Range Marker;Main Tx Limit;5.0
Range Marker;Minor Tx Limit;-1.0
Range Marker;Minor Tx Limit;1.0
jOPS;In-store Purchase [50%];Online Purchase [35%];Installment Purchase [10%];Associativity of Category [0.1%];Associativity of Product [1%];Business Report [0.25%];Customer Buying Behavior [1%];Product Return [2.65%]
115.0;-0.04334007512279214;-0.02455937590291768;0.06934412019647418;0.0011268419531927226;0.011268419531927254;0.010040450736781281;0.011268419531927254;-0.035148800924588386
231.0;0.021626297577860498;-0.023068050749714075;-0.008650519031141002;0.008131487889273356;-0.012399077277970072;0.0023068050749711633;0.0020184544405996707;0.01003460207612461
346.0;0.028907303912120597;-0.0317980343033355;-0.007708614376566558;0.005993447677779901;0.006937752938909192;-0.004287916746964743;-0.0026980150317981177;0.004654075929851675
462.0;0.07017670133515708;-0.030409903911902347;-0.024111994817721083;0.004365350703566417;4.678446755677079E-4;-0.0016824414294454026;-0.0031309605211070624;-0.015674596034116917
577.0;0.012992637505412574;-0.0036090659737268993;-0.018767143063374903;0.0010538472643279728;0.0047639670853183436;0.0040782445503103615;0.007651219864299286;-0.008163707232568207
693.0;0.005998800239950697;0.013797240551895129;-0.008398320335933462;-0.0016196760647870512;-0.004199160167966398;-4.4991001799638E-4;0.005398920215956782;-0.010527894421115569
808.0;-0.0020624510167905896;0.026605618116569474;-0.03217423586189838;-0.0010023511941591456;0.006476096192715497;-4.434269686094672E-4;2.8874314235038945E-4;0.0023120075898197534
924.0;0.033333933944760474;-0.028198706282999808;1.8018342672831977E-4;9.027189679093328E-4;-0.007189318726463556;0.0022567974197733043;-0.0017838159246111873;4.982071749042305E-4
1039.0;-0.006403483495020623;-0.017769666698683295;0.010245573592033708;0.0024557359203406653;-0.0026574456504339095;-2.6414369416960515E-4;0.0069477795920980245;0.0074456504338358265
1155.0;-0.020195608897608963;-0.0024523239375682238;0.008366752257579435;-4.6449900464498595E-4;-3.173595683910735E-4;-4.399757652693015E-4;0.009780444880413075;0.005722570035486374
1270.0;-0.03736087988148995;0.018287167520938397;0.0022285437122295804;-3.7098698268291097E-4;0.0120210269653791;3.8344060931011503E-4;0.004155578569274843;6.56109487041423E-4
1386.0;-0.021043011916354715;0.032406238351185834;-0.0039681108185138925;-0.0013984584490698976;4.4490939480312797E-4;-0.0022936882988829066;0.0016473672185948196;-0.005795245481764688
1501.0;0.03213866170179358;-0.007646785025599456;-0.010417359310238794;-2.593257530421056E-4;-0.0037014872442759916;-6.483143826052362E-4;-0.001485027816565898;-0.00798036216947029
1617.0;-0.007194984068249255;-0.0015417823003360809;-0.007194984068249255;-2.980779113989085E-4;0.011409189022510091;7.965875218419183E-4;1.027854866892941E-4;0.003921266317196359
1732.0;0.009127857259528582;-0.010521056525455208;0.003170729363835889;-7.398368515618148E-5;-7.398368515617593E-4;-1.8495921289043982E-4;0.001181817308339106;-0.0019605676566389896
1848.0;4.503571332108436E-4;0.0062599641515674875;-0.00837664267764282;8.799978382857676E-4;-0.002008592814101595;0.0012992803293011557;0.004296407050791373;-0.002800771011412184
1963.0;-0.018251428280372295;-0.014134245621782782;0.02724980687442269;0.0010195332727782058;-8.404146045382088E-4;-4.2232956137147615E-4;-0.005084932809276799;0.010464010730141915
2079.0;-0.005208041215638559;0.009254288621633577;0.0010416082431277118;-0.002249072568045074;-0.002459797928000884;7.872154606712867E-4;-8.573237078048912E-4;-3.0887690594250117E-4
2194.0;-0.0015163232194552734;0.003563359565724511;0.005458763590047155;-6.808291255364085E-4;-7.429983775342208E-4;1.9333121048081825E-4;1.5163232194526088E-5;-0.006290466875919165
2310.0;-0.01726767778513505;-0.014965320747116095;0.01597260195124761;0.0014476069876536019;0.0022447981120672367;3.813278844216894E-4;8.058249633060566E-4;0.011380838633551438
2425.0;-0.0041166945687081125;-0.0026072398935141905;0.0028816861980942576;-5.132145895655471E-4;0.0044734747646622;0.001804484452616828;-3.293355654966357E-4;-0.0015931607980896878
2541.0;0.02556706437655265;-0.013766880818145921;-0.02360036711682234;-0.001665137013242446;0.0036711682181722605;-0.0015405795201258454;0.0017044709584370654;0.009630260915169941
2656.0;-0.003131184088573491;-8.767315447997248E-4;0.0016282157260594232;1.9789083439793187E-4;-0.0011522757445956433;-7.577465494351399E-4;0.001352671526264393;0.002739159840685179
2772.0;0.010197104022459769;-0.027532180860639244;0.01415597970176563;-0.0010281080173230872;5.158534976066331E-4;-4.708662739781877E-4;0.0017155127943664361;0.0024467051357413006
2887.0;0.0011506950197883725;0.004717849581147959;1.1506950197848198E-4;1.1046672190002937E-4;0.0022553622387921912;-8.745282150418865E-4;-0.0023474178403756207;-0.005127497008192705
3002.0;-0.026897374039876354;0.01927182985330944;0.009705238055625287;-7.292793167512496E-4;-0.003965282977012485;-4.367357125031335E-4;-0.0023015278817624107;0.005353132018966811
3118.0;-0.00987936494374253;0.00712916335129421;-0.0036847361141525425;-1.3831110921237733E-4;-8.490913654349841E-4;4.5525181700212247E-4;0.0012869875413197285;0.005680100822924583
3233.0;0.005906371176912728;-0.0029531855884528113;0.0038519812023309896;-3.6208623301918486E-4;-0.0025936673429033386;0.002176369379317422;-0.0025936673429033386;-0.003432115251277512
3349.0;0.007207655026718385;-0.020504535851870287;0.004722256741642283;9.071703740524406E-4;-3.7280974276121537E-4;0.0020193861066235552;0.00559214614141923;4.287312041757474E-4
3464.0;-0.010555710159394494;-0.00734101661084452;0.013530501204311207;2.792465142166245E-4;0.0032722701494114492;4.5821378191901463E-4;0.004711685171146618;-0.004355190050763458
3580.0;0.004174009832112802;-0.020870049160564008;0.011130692885632953;1.7623597068916474E-4;-5.565346442816255E-4;0.0013681476671922876;0.004545032928299664;3.246452091643093E-5
3695.0;0.001123792484968078;-0.002404915917843198;-0.0027420536633382397;2.4228965976057226E-4;6.248286216461452E-4;8.304826463964576E-4;-0.0020722733422937623;0.00439784951070088
3811.0;0.022373114033371166;-0.008884081203547112;-0.009861547350631383;-9.500970949706256E-4;-0.0029845299691121374;6.657630535173431E-4;0.001359764017950571;-0.001718385486582541
3926.0;0.029246458635334704;-0.027169536210507772;-0.006612242821901759;3.136576723208884E-5;0.0015852428303790855;-3.4544730127245016E-4;-9.579274857369757E-4;0.004222086586472162
4042.0;0.0028773193249023166;-0.014263282939140254;0.012249159411711119;-5.26960482074304E-4;-3.370574066310361E-4;-9.063555873430607E-4;7.39882112117396E-5;8.331894673672124E-4
4157.0;0.018548139402227548;-0.017012433236672564;-0.0015556504014764272;5.18949018544157E-4;0.0015995277204936542;8.984878280328124E-4;-0.002788204181109588;-2.0881615004419984E-4
4273.0;-7.763191603373798E-4;-0.005084890500178574;0.005201338374233089;1.451716829823091E-4;0.001839876409989838;-4.1338995287742986E-4;0.0014517168298229244;-0.0023635036836342493
4388.0;-0.007776433234582214;0.012537127726965025;-0.0014035513642891573;5.246247396791526E-4;0.0010735271245785327;-1.6121873779029183E-5;-0.006133898800153248;0.001194725681576081
4504.0;-0.012861027412355952;0.0036745792606751593;7.349158521350319E-4;6.834717424854808E-4;0.0024252223120453387;-0.001965899904460916;0.0024252223120453387;0.004883515837436736
4619.0;0.0188190254970948;-0.017044660235931985;0.0016847508540251965;0.0014435088700340132;0.0011721564452473743;-0.0012304058098812354;0.0015306140737634255;-0.006374989694343025
4735.0;-0.01628270986311975;0.018681345617146405;-0.0017158124371885464;0.00119791721380072;-2.7663098477126447E-4;-3.317820988237852E-4;0.0025246954432922575;-0.003797022890338564
