Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;949062.0
Domain Marker;max-jOPS;7175464.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3577.0;1001.0544799999998;1001.063083
87285.0;5570.489172000001;5571.059737999996
289376.0;9893.57167699997;10077.94094400003
399969.0;12529.53854400001;12529.905117999995
636345.0;9601.634709000005;9726.804719000007
753768.0;7122.604751000064;7189.093586999923
760910.0;5141.091228000005;5141.3712129999185
7492034.0;13030.869013999589;13264.121284999885
7679932.0;10867.327938000672;10867.565923999995
7686940.0;5006.444512000307;5006.598613999784
7725971.0;;1000.2902540005744
7725972.0;0.9574889997020364;
