Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;1213190.0
Domain Marker;max-jOPS;7699864.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3630.0;1001.3549649999995;1001.402967
287522.0;6515.22448699997;6931.143046000041
389669.0;9321.438669999945;9321.778842
599584.0;8075.4997250000015;8294.113431000034
701127.0;9558.461598000024;9558.779129000031
934260.0;6239.4215829999885;6465.252239000052
1018733.0;11241.806952000014;11558.635509999935
8083353.0;6322.7567360000685;6582.250122000463
8258091.0;8711.693611999974;8711.976986000314
8303558.0;0.24102600011974573;1000.3002129998058
