Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;881849.0
Domain Marker;max-jOPS;7153453.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3561.0;1001.3803719999996;1001.3693910000002
87078.0;5414.836926000004;5415.377642000007
280368.0;9406.315869999991;9767.48965100001
381778.0;11285.20748500002;11285.544065999973
597504.0;5980.348250000039;6097.526688999962
686557.0;6408.770990999998;6623.638619999983
693935.0;5377.308567999979;5377.58222099999
7462760.0;6836.530884000473;7124.21576000005
7642729.0;11296.748988999985;11296.966592999175
7649823.0;5092.818226999603;5093.739823999815
7688893.0;0.20563500002026558;1000.2567699998617
