Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;3860.0
Domain Marker;max-jOPS;10162.0
Domain Marker;Last Success for SLAs;6467.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
115;91.47272364526764
231;92.87227619330366
346;93.8602013108725
462;94.56632161661301
577;95.8068912487341
693;95.12018483521346
808;95.37627965620712
924;95.73188379415437
1039;96.43878340142804
1155;96.09630237408497
1270;96.39822738323157
1386;96.37932153934831
1501;96.9873187923073
1617;96.7836392033504
1732;96.72397449482689
1848;96.91015312490427
1963;96.8675096440539
2079;97.30046992674788
2194;97.09788282904334
2310;97.73695254304315
2425;97.21613818234307
2541;96.93661103078163
2656;97.35278730368672
2772;97.55031041137568
2887;97.53760663629235
3002;97.5203675066435
3118;97.73818707764329
3233;97.70699649679833
3349;97.88733465400843
3464;97.651222610737
3580;97.85148116145963
3695;97.9978400766081
3811;97.9390310926765
3926;97.60070232048515
4042;97.91531373161644
4157;97.80365306182529
4273;97.82538411291789
4388;97.6257824926985
4504;97.76080474355585
4619;97.38485466945353
4735;97.95881833102491
4850;97.79815913864755
4966;97.78487827208404
5081;97.52411459027982
5197;98.18714233074631
5312;97.50860266555344
5428;97.70059988639457
5543;97.3973963616623
5659;98.17931086151162
5774;97.98714779290844
5889;97.23933996128955
6005;97.66148269655703
6120;97.2633252818866
6236;97.69202465700604
6351;97.62584672225528
6467;96.64446834352577
6582;95.3127649270389
6698;93.45209877579147
6813;90.83260906591845
6929;87.9119138024461
7044;87.81451805285106
7160;85.77496245962331
7275;84.77597449878456
7391;84.22824560049345
7506;82.03546444031596
7622;80.77798988396515
7737;78.89027114419096
7853;75.98342634283966
7968;76.79443368978049
8084;73.90797815293283
8199;72.88299944128332
8315;71.84588848957954
8430;70.44946189089504
8546;67.37458539596675
8661;66.77529150524138
8776;65.231502897357
8892;63.41861602807641
9007;61.89670292053686
9123;61.59526922466652
9238;58.91661584980832
9354;55.239375920475695
9469;54.01166450038182
9585;52.6734456841505
9700;49.72857198639581
9816;49.904565118172115
9931;42.657128924122176
10047;25.94390755291526
10162;10.157922149568527
10278;5.912311037512202
10393;1.2777229224464113
10509;1.3151872870175192
10624;3.8418274465014934
