
===================================
Domain Marker;critical-jOPS;3899.0
Domain Marker;max-jOPS;10393.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
115.0;300.0;400.0;500.0;500.0;700.0;1400.0
231.0;300.0;500.0;600.0;700.0;900.0;3400.0
346.0;300.0;500.0;800.0;900.0;1100.0;2400.0
462.0;300.0;600.0;1000.0;1100.0;1400.0;127000.0
577.0;300.0;800.0;1100.0;1200.0;1600.0;127000.0
693.0;300.0;900.0;1300.0;1400.0;1800.0;124000.0
808.0;300.0;1000.0;1400.0;1600.0;2000.0;121000.0
924.0;300.0;1100.0;1600.0;1800.0;2500.0;124000.0
1039.0;300.0;1200.0;1800.0;2000.0;2900.0;119000.0
1155.0;300.0;1300.0;1900.0;2100.0;3100.0;126000.0
1270.0;300.0;1400.0;2000.0;2200.0;3700.0;127000.0
1386.0;300.0;1500.0;2200.0;2400.0;4100.0;182000.0
1501.0;300.0;1500.0;2300.0;2500.0;5253.99999999936;126000.0
1617.0;300.0;1600.0;2500.0;2800.0;6600.0;143000.0
1732.0;300.0;1700.0;2600.0;3000.0;7500.0;133000.0
1848.0;300.0;1800.0;2700.0;3100.0;7000.0;126000.0
1963.0;300.0;1900.0;2900.0;3300.0;10000.0;139000.0
2079.0;300.0;2000.0;3000.0;3600.0;10167.999999999302;134000.0
2194.0;300.0;2000.0;3300.0;3900.0;13500.0;143000.0
2310.0;300.0;2100.0;3300.0;3900.0;12455.999999999767;143000.0
2425.0;300.0;2200.0;3500.0;4200.0;16800.0;138000.0
2541.0;300.0;2300.0;3700.0;4400.0;13900.0;157000.0
2656.0;300.0;2400.0;3800.0;4700.0;17800.0;158000.0
2772.0;300.0;2400.0;4000.0;4900.0;18220.000000001164;164000.0
2887.0;300.0;2500.0;4200.0;5200.0;24000.0;164000.0
3002.0;300.0;2500.0;4200.0;5200.0;19700.0;140000.0
3118.0;300.0;2600.0;4500.0;6000.0;23000.0;136000.0
3233.0;300.0;2700.0;4600.0;6100.0;31000.0;199000.0
3349.0;300.0;2800.0;5000.0;7200.0;47000.0;198000.0
3464.0;300.0;2900.0;5000.0;7200.0;30000.0;152000.0
3580.0;300.0;3000.0;5400.0;7900.0;37000.0;227000.0
3695.0;300.0;3100.0;5700.0;9600.0;45000.0;241000.0
3811.0;300.0;3200.0;5800.0;9400.0;39000.0;179000.0
3926.0;300.0;3300.0;6000.0;9300.0;34000.0;148000.0
4042.0;300.0;3400.0;6200.0;9700.0;37000.0;177000.0
4157.0;300.0;3500.0;7000.0;13600.0;44000.0;149000.0
4273.0;300.0;3500.0;7100.0;15000.0;50000.0;172000.0
4388.0;300.0;3700.0;7400.0;15600.0;46000.0;178000.0
4504.0;300.0;3800.0;8300.0;16200.0;54000.0;218000.0
4619.0;300.0;3900.0;8500.0;17700.0;52000.0;205000.0
4735.0;300.0;4000.0;9000.0;21000.0;77000.0;189000.0
4850.0;300.0;4100.0;9700.0;22000.0;57000.0;203000.0
4966.0;300.0;4200.0;9600.0;22000.0;56000.0;185000.0
5081.0;300.0;4300.0;11000.0;26000.0;67039.99999997905;225000.0
5197.0;300.0;4600.0;12600.0;31000.0;81000.0;253000.0
5312.0;300.0;4500.0;11800.0;26000.0;67000.0;235000.0
5428.0;300.0;4700.0;14200.0;33000.0;69000.0;201000.0
5543.0;300.0;4900.0;18100.0;37000.0;87000.0;236000.0
5659.0;200.0;5000.0;21000.0;41000.0;83000.0;209000.0
5774.0;300.0;5100.0;23000.0;42000.0;93000.0;260000.0
5889.0;300.0;5300.0;21000.0;44000.0;102000.0;226000.0
6005.0;200.0;5400.0;26000.0;44000.0;88000.0;267000.0
6120.0;300.0;5600.0;31000.0;52000.0;93000.0;211000.0
6236.0;300.0;5900.0;30000.0;53000.0;115000.0;317000.0
6351.0;300.0;5900.0;29000.0;57000.0;124000.0;254000.0
6467.0;300.0;6100.0;42000.0;69000.0;116000.0;305000.0
6582.0;300.0;6400.0;51000.0;80000.0;128000.0;266000.0
6698.0;300.0;6400.0;50000.0;77000.0;119000.0;225000.0
6813.0;300.0;6400.0;51000.0;78000.0;134000.0;291000.0
6929.0;300.0;6800.0;55000.0;79000.0;121000.0;397000.0
7044.0;300.0;6900.0;60000.0;91000.0;170000.0;320000.0
7160.0;200.0;7200.0;82000.0;125000.0;190000.0;403000.0
7275.0;300.0;7100.0;77000.0;106000.0;169000.0;546000.0
7391.0;300.0;7500.0;80000.0;111000.0;160000.0;498000.0
7506.0;200.0;7400.0;99000.0;130000.0;178000.0;363000.0
7622.0;300.0;8200.0;125000.0;170000.0;237000.0;474000.0
7737.0;300.0;8000.0;135000.0;184000.0;237000.0;660000.0
7853.0;300.0;8300.0;108000.0;142000.0;216000.0;508000.0
7968.0;300.0;8900.0;149000.0;192000.0;285000.0;720000.0
8084.0;300.0;8900.0;145000.0;192000.0;278000.0;760000.0
8199.0;300.0;10900.0;139000.0;179000.0;263000.0;840000.0
8315.0;300.0;12500.0;156000.0;208000.0;312000.0;830000.0
8430.0;300.0;10400.0;177000.0;215000.0;314000.0;610000.0
8546.0;300.0;16100.0;205000.0;254000.0;342000.0;700000.0
8661.0;300.0;15700.0;215000.0;265000.0;341000.0;880000.0
8776.0;200.0;39000.0;229000.0;273000.0;348000.0;760000.0
8892.0;300.0;28000.0;243000.0;301000.0;442000.0;1100000.0
9007.0;300.0;39000.0;220000.0;275000.0;354000.0;870000.0
9123.0;300.0;29000.0;247000.0;317000.0;435000.0;720000.0
9238.0;300.0;58000.0;290000.0;353000.0;485000.0;950000.0
9354.0;300.0;80000.0;303000.0;380000.0;509000.0;1100000.0
9469.0;300.0;115000.0;345000.0;408000.0;535000.0;1100000.0
9585.0;300.0;91000.0;341000.0;395000.0;485000.0;920000.0
9700.0;300.0;142000.0;375000.0;442000.0;556000.0;910000.0
9816.0;300.0;137000.0;398000.0;463000.0;543000.0;1200000.0
9931.0;300.0;190000.0;423000.0;473000.0;573000.0;1200000.0
10047.0;300.0;256000.0;534000.0;640000.0;790000.0;1300000.0
10162.0;300.0;330000.0;640000.0;760000.0;930000.0;1600000.0
10278.0;400.0;640000.0;1100000.0;1200000.0;1400000.0;2500000.0
10393.0;300.0;582000.0;1100000.0;1200000.0;1500000.0;2900000.0
10509.0;400.0;1400000.0;2900000.0;3400000.0;4600000.0;9400000.0
10624.0;1100.0;1200000.0;2100000.0;2400000.0;2700000.0;6800000.0
10740.0;600.0;1300000.0;2700000.0;2800000.0;3000000.0;4600000.0
10855.0;700.0;1300000.0;3100000.0;3400000.0;3700000.0;6000000.0
