Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;956313.0
Domain Marker;max-jOPS;7857745.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3402.0;1001.1185530000002;1001.1780390000004
87372.0;5860.050783999992;5860.549680000011
281808.0;8122.393106000032;8244.24076700001
391372.0;9114.720578999957;9115.067658999993
673477.0;9246.35087799991;9745.512109000003
760626.0;9583.982903999975;9809.308802000014
768042.0;5415.136849000002;5415.3716140000615
8269171.0;16761.79011599999;16972.542014999315
8466636.0;10602.596504999325;10602.824540000409
8512344.0;0.24035000056028366;1000.2511270008981
